state,district,election_year,cand_fname,cand_lname,vote_percent_primary,vote_percent_general,winner_primary,winner_general,ran_primary,ran_general,primary_contested,general_contested,primary_contested_reconciled,general_contested_reconciled,uncontested_prim_final,uncontested_gen_final,election_unique_identifier,candidate_unique_identifier,abb,district_unique_identifier,counties_total,city_election_outliers,year_state_district_unique_identifier,cand_gender,incum_chall,party,vote_count_general,vote_count_primary
California,Lake,2018,Steve,Brown,40.23,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ca-lake-2018-brown,ca-brown-steve,CA,ca-lake,Lake,NA,2018-ca-lake,M,O,NP,NA,5060
California,Lake,2018,Susan,Krones,59.76,NA,W,W,Y,SKIP,contested,uncontested,contested,uncontested,0,1,ca-lake-2018-krones,ca-krones-susan,CA,ca-lake,Lake,NA,2018-ca-lake,F,O,NP,NA,7517
California,Marin,2018,Anthony,Brady,20.32,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ca-marin-2018-brady,ca-brady-anthony,CA,ca-marin,Marin,NA,2018-ca-marin,M,O,NP,NA,14879
California,Merced,2018,Kimberly,Lewis,66.27,NA,W,W,Y,SKIP,contested,uncontested,contested,uncontested,0,1,ca-merced-2018-lewis,ca-lewis-kimberly,CA,ca-merced,Merced,NA,2018-ca-merced,F,C,NP,NA,19937
California,Modoc,2018,Jordan,Funk,41.72,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ca-modoc-2018-funk,ca-funk-jordan,CA,ca-modoc,Modoc,NA,2018-ca-modoc,M,I,NP,NA,1201
California,Modoc,2018,Samuel,Kyllo,58.08,NA,W,W,Y,SKIP,contested,uncontested,contested,uncontested,0,1,ca-modoc-2018-kyllo,ca-kyllo-samuel,CA,ca-modoc,Modoc,NA,2018-ca-modoc,M,C,NP,NA,1672
California,Sacramento,2018,Noah,Phillips,37.4,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ca-sacramento-2018-phillips,ca-phillips-noah,CA,ca-sacramento,Sacramento,NA,2018-ca-sacramento,M,C,NP,NA,104596
California,San Diego,2018,Genevieve,Jones-Wright,37.27,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ca-san-diego-2018-jones-wright,ca-jones-wright-genevieve,CA,ca-san-diego,San Diego,NA,2018-ca-san-diego,F,C,NP,NA,228020
California,Stanislaus,2018,Patrick,Kolasinski,15.93,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ca-stanislaus-2018-kolasinski,ca-kolasinski-patrick,CA,ca-stanislaus,Stanislaus,NA,2018-ca-stanislaus,M,C,NP,NA,12782
California,Stanislaus,2018,Steven,O'Connor,12.83,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ca-stanislaus-2018-o-connor,ca-o-connor-steven,CA,ca-stanislaus,Stanislaus,NA,2018-ca-stanislaus,M,C,NP,NA,10294
Indiana,30,2018,Christine,Bogan,19.1,NA,L,NA,Y,N,NA,NA,contested,did_not_run,0,0,NA,NA,NA,NA,NA,NA,NA,F,I,REP,NA,893
Indiana,37,2018,Christopher,Huerkamp,100,78.3,W,W,Y,Y,NA,NA,uncontested,contested,1,0,NA,NA,NA,NA,NA,NA,NA,M,O,REP,5869,2514
Indiana,40,2018,Amymarie,Travis,100,NA,W,NA,Y,N,NA,NA,uncontested,did_not_run,1,0,NA,NA,NA,NA,NA,NA,NA,F,I,REP,NA,5383
Indiana,51,2018,Jeffrey,Sinkovics,59.6,100,W,W,Y,Y,NA,NA,contested,uncontested,0,1,NA,NA,NA,NA,NA,NA,NA,M,O,REP,8590,2609
Indiana,82,2018,Daniel,Sigler,100,100,W,W,Y,Y,NA,NA,uncontested,uncontested,1,1,NA,NA,NA,NA,NA,NA,NA,M,I,REP,11159,3806
Iowa,Appanoose,2018,Susan,Scieszinski,99.51,98.43,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,ia-appanoose-2018-scieszinski-cole,ia-scieszinski-cole-susan,IA,ia-appanoose,Appanoose,NA,2018-ia-appanoose,F,O,REP,4074,613
Iowa,Floyd,2018,Rachel,Ginbey,97.93,98.35,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,ia-floyd-2018-ginbey,ia-ginbey-rachel,IA,ia-floyd,Floyd,NA,2018-ia-floyd,F,I,REP,5130,236
Iowa,Mills - Fremont,2018,Naeda,Elliott,99.3,98.5,W,W,Y,Y,NA,NA,uncontested,uncontested,1,1,NA,NA,NA,NA,NA,NA,NA,F,I,REP,7412,1483
Iowa,Warren,2018,Doug,Eichholz,99.3,98.38,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,ia-warren-2018-eichholz,ia-eichholz-doug,IA,ia-warren,Warren,NA,2018-ia-warren,M,I,REP,17631,1569
Kentucky,22,2018,Lou Anna,Red Corn,NA,100,W,W,SKIP,Y,uncontested,uncontested,uncontested,uncontested,1,1,ky-22-2018-red-corn,ky-red-corn-lou-anna,KY,ky-22,Fayette,NA,2018-ky-22,F,I,DEM,88062,NA
Kentucky,7,2018,Joe,Hendricks,48.39,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ky-07-2018-hendricks,ky-hendricks-joe,KY,ky-07,"Logan, Todd",NA,2018-ky-07,M,O,REP,NA,842
